full_address,lat,lng
309 Ang Mo Kio Avenue 1,1.365098,103.845337
216 Ang Mo Kio Avenue 1,1.366226,103.841509
211 Ang Mo Kio Avenue 3,1.36916,103.841855
202 Ang Mo Kio Avenue 3,1.36854,103.844466
235 Ang Mo Kio Avenue 3,1.366846,103.836496
232 Ang Mo Kio Avenue 3,1.368302,103.837176
308 Ang Mo Kio Avenue 1,1.365172,103.844429
220 Ang Mo Kio Avenue 1,1.365618,103.84052
219 Ang Mo Kio Avenue 1,1.365994,103.840652
247 Ang Mo Kio Avenue 3,1.367848,103.834098
320 Ang Mo Kio Avenue 1,1.365581,103.848391
252 Ang Mo Kio Avenue 4,1.368856,103.834354
223 Ang Mo Kio Avenue 1,1.36605,103.83925
230 Ang Mo Kio Avenue 3,1.368871,103.837899
329 Ang Mo Kio Avenue 3,1.366629,103.846876
313 Ang Mo Kio Avenue 3,1.366704,103.850098
117 Ang Mo Kio Avenue 4,1.373669,103.8358
110 Ang Mo Kio Avenue 4,1.370488,103.83742
343 Ang Mo Kio Avenue 3,1.368381,103.848685
345 Ang Mo Kio Avenue 3,1.367506,103.849654
346 Ang Mo Kio Avenue 3,1.367133,103.849728
121 Ang Mo Kio Avenue 3,1.369794,103.843197
129 Ang Mo Kio Avenue 3,1.370002,103.84215
130 Ang Mo Kio Avenue 3,1.370665,103.841847
128 Ang Mo Kio Avenue 3,1.37081,103.84359
127 Ang Mo Kio Avenue 3,1.371194,103.84377
126 Ang Mo Kio Avenue 3,1.371636,103.843574
403 Ang Mo Kio Avenue 10,1.361335,103.85462
404 Ang Mo Kio Avenue 10,1.361782,103.854646
405 Ang Mo Kio Avenue 10,1.361704,103.8536
417 Ang Mo Kio Avenue 10,1.365028,103.855177
418 Ang Mo Kio Avenue 10,1.365027,103.854012
419 Ang Mo Kio Avenue 10,1.365362,103.854144
441 Ang Mo Kio Avenue 10,1.366108,103.854054
442 Ang Mo Kio Avenue 10,1.365671,103.855228
443 Ang Mo Kio Avenue 10,1.366047,103.855368
444 Ang Mo Kio Avenue 10,1.366637,103.855548
450 Ang Mo Kio Avenue 10,1.368492,103.855502
435 Ang Mo Kio Avenue 10,1.367743,103.854189
433 Ang Mo Kio Avenue 10,1.368098,103.85435
434 Ang Mo Kio Avenue 10,1.367921,103.853093
424 Ang Mo Kio Avenue 3,1.368676,103.850861
425 Ang Mo Kio Avenue 3,1.369189,103.851595
466 Ang Mo Kio Avenue 10,1.365506,103.857155
471 Ang Mo Kio Avenue 10,1.363409,103.856666
474 Ang Mo Kio Avenue 10,1.36277,103.858016
570 Ang Mo Kio Avenue 3,1.370043,103.855774
586 Ang Mo Kio Avenue 3,1.370136,103.853428
455 Ang Mo Kio Avenue 10,1.368779,103.857038
465 Ang Mo Kio Avenue 10,1.366244,103.857077
463 Ang Mo Kio Avenue 10,1.366777,103.857687
564 Ang Mo Kio Avenue 3,1.369728,103.858828
560 Ang Mo Kio Avenue 10,1.370839,103.85919
558 Ang Mo Kio Avenue 10,1.371266,103.859045
559 Ang Mo Kio Avenue 10,1.371021,103.857854
538 Ang Mo Kio Avenue 5,1.375542,103.85338
534 Ang Mo Kio Avenue 10,1.37413,103.854247
601 Ang Mo Kio Avenue 5,1.381031,103.835279
603 Ang Mo Kio Avenue 5,1.379846,103.835165
604 Ang Mo Kio Avenue 5,1.379896,103.835965
608 Ang Mo Kio Avenue 5,1.378745,103.83691
611 Ang Mo Kio Avenue 5,1.378344,103.837229
505 Ang Mo Kio Avenue 8,1.374874,103.850169
503 Ang Mo Kio Avenue 5,1.375468,103.848935
610 Ang Mo Kio Avenue 4,1.379834,103.839367
